return period,return value,lower ci,upper ci
5.0,54.17100567985301,49.38226882677759,58.65266666117489
10.0,62.890375987055435,56.787525205465435,68.42127298026517
25.0,73.90732348480827,65.64169383128488,81.08590683739646
50.0,82.0803244900693,71.84111770462667,90.46946975819793
100.0,90.19297733883037,78.09729213785886,100.11663421478143
